,registered,number,text,letter,voivodeship,country
1229,2008-05-17,C0 SZEJK,SZEJK,C,kujawsko-pomorskie,Poland
1230,2007-05-31,C0 SZEWC,SZEWC,C,kujawsko-pomorskie,Poland
1231,2017-06-24,C0 SZOK,SZOK,C,kujawsko-pomorskie,Poland
1232,2008-06-17,C0 SZU,SZU,C,kujawsko-pomorskie,Poland
1233,2016-01-26,C0 SZYBY,SZYBY,C,kujawsko-pomorskie,Poland
1234,2010-01-18,C0 TAM,TAM,C,kujawsko-pomorskie,Poland
1235,2014-07-11,C0 TAM1,TAM1,C,kujawsko-pomorskie,Poland
1236,2010-06-14,C0 TANGO,TANGO,C,kujawsko-pomorskie,Poland
1237,2011-07-19,C0 TAPS,TAPS,C,kujawsko-pomorskie,Poland
1238,2012-09-26,C0 TARIS,TARIS,C,kujawsko-pomorskie,Poland
1239,2019-07-11,C0 TB83,TB83,C,kujawsko-pomorskie,Poland
1240,2009-12-03,C0 TCG,TCG,C,kujawsko-pomorskie,Poland
1241,2012-11-10,C0 TEAM,TEAM,C,kujawsko-pomorskie,Poland
1242,2010-04-08,C0 TEATR,TEATR,C,kujawsko-pomorskie,Poland
1243,2017-07-20,C0 TED,TED,C,kujawsko-pomorskie,Poland
1244,2010-04-08,C0 TENZO,TENZO,C,kujawsko-pomorskie,Poland
1245,2014-07-14,C0 TEO,TEO,C,kujawsko-pomorskie,Poland
1246,2007-10-26,C0 TERAZ,TERAZ,C,kujawsko-pomorskie,Poland
1247,2010-01-03,C0 TERRA,TERRA,C,kujawsko-pomorskie,Poland
1248,2019-02-03,C0 TESLA,TESLA,C,kujawsko-pomorskie,Poland
1249,2013-04-04,C0 TEXAS,TEXAS,C,kujawsko-pomorskie,Poland
1250,2008-05-24,C0 TIGER,TIGER,C,kujawsko-pomorskie,Poland
1251,2007-06-29,C0 TITI,TITI,C,kujawsko-pomorskie,Poland
1252,2016-12-06,C0 TKM,TKM,C,kujawsko-pomorskie,Poland
1253,2018-07-26,C0 TOBI,TOBI,C,kujawsko-pomorskie,Poland
1254,2009-08-27,C0 TOK,TOK,C,kujawsko-pomorskie,Poland
1255,2011-06-04,C0 TOM,TOM,C,kujawsko-pomorskie,Poland
1256,2008-07-25,C0 TOMA,TOMA,C,kujawsko-pomorskie,Poland
1257,2006-09-24,C0 TOMAL,TOMAL,C,kujawsko-pomorskie,Poland
1258,2003-05-17,C0 TOMAX,TOMAX,C,kujawsko-pomorskie,Poland
1259,2004-02-01,C0 TOMEK,TOMEK,C,kujawsko-pomorskie,Poland
1260,2018-07-18,C0 TOMUS,TOMUS,C,kujawsko-pomorskie,Poland
1261,2006-06-10,C0 TONI,TONI,C,kujawsko-pomorskie,Poland
1262,2010-03-15,C0 TOOBA,TOOBA,C,kujawsko-pomorskie,Poland
1263,2009-06-26,C0 TOOLS,TOOLS,C,kujawsko-pomorskie,Poland
1264,2010-12-31,C0 TOPAZ,TOPAZ,C,kujawsko-pomorskie,Poland
1265,2005-10-21,C0 TOREC,TOREC,C,kujawsko-pomorskie,Poland
1266,2006-11-20,C0 TORUN,TORUN,C,kujawsko-pomorskie,Poland
1267,2014-05-01,C0 TOSIA,TOSIA,C,kujawsko-pomorskie,Poland
1268,2016-07-17,C0 TP85,TP85,C,kujawsko-pomorskie,Poland
1269,2017-11-11,C0 TPMI,TPMI,C,kujawsko-pomorskie,Poland
1270,2018-11-04,C0 TRAWA,TRAWA,C,kujawsko-pomorskie,Poland
1271,2014-07-06,C0 TREK,TREK,C,kujawsko-pomorskie,Poland
1272,2004-07-03,C0 TRIAS,TRIAS,C,kujawsko-pomorskie,Poland
1273,2011-08-16,C0 TRUST,TRUST,C,kujawsko-pomorskie,Poland
1274,2009-02-14,C0 TUNIA,TUNIA,C,kujawsko-pomorskie,Poland
1275,2003-02-21,C0 TURBO,TURBO,C,kujawsko-pomorskie,Poland
1276,2014-02-06,C0 TWINS,TWINS,C,kujawsko-pomorskie,Poland
1277,2008-09-24,C0 TYMON,TYMON,C,kujawsko-pomorskie,Poland
1278,2015-03-19,C0 TYNEK,TYNEK,C,kujawsko-pomorskie,Poland
1279,2005-12-16,C0 TYNKA,TYNKA,C,kujawsko-pomorskie,Poland
1280,2011-05-17,C0 TYTAN,TYTAN,C,kujawsko-pomorskie,Poland
1281,2019-04-27,C0 UGAN,UGAN,C,kujawsko-pomorskie,Poland
1282,2008-10-15,C0 ULA,ULA,C,kujawsko-pomorskie,Poland
1283,2014-10-15,C0 UNTRY,UNTRY,C,kujawsko-pomorskie,Poland
1284,2004-01-23,C0 UPE,UPE,C,kujawsko-pomorskie,Poland
1285,2005-05-27,C0 UPE3,UPE3,C,kujawsko-pomorskie,Poland
1286,2008-05-12,C0 UPE6,UPE6,C,kujawsko-pomorskie,Poland
1287,2016-08-14,C0 UPER2,UPER2,C,kujawsko-pomorskie,Poland
1288,2015-05-25,C0 UPES,UPES,C,kujawsko-pomorskie,Poland
1289,2015-02-23,C0 UPONS,UPONS,C,kujawsko-pomorskie,Poland
1290,2008-05-31,C0 UPR,UPR,C,kujawsko-pomorskie,Poland
1291,2008-06-11,C0 URBEK,URBEK,C,kujawsko-pomorskie,Poland
1292,2019-03-29,C0 URLOP,URLOP,C,kujawsko-pomorskie,Poland
1293,2003-08-08,C0 URWIS,URWIS,C,kujawsko-pomorskie,Poland
1294,2008-02-15,C0 USKOM,USKOM,C,kujawsko-pomorskie,Poland
1295,2018-05-11,C0 UTCJK,UTCJK,C,kujawsko-pomorskie,Poland
1296,2017-04-04,C0 UWAGA,UWAGA,C,kujawsko-pomorskie,Poland
1297,2019-03-22,C0 VAG,VAG,C,kujawsko-pomorskie,Poland
1298,2017-06-04,C0 VDV37,VDV37,C,kujawsko-pomorskie,Poland
1299,2006-02-18,C0 VEBSO,VEBSO,C,kujawsko-pomorskie,Poland
1300,2019-03-22,C0 VELAR,VELAR,C,kujawsko-pomorskie,Poland
1301,2008-06-27,C0 VENOM,VENOM,C,kujawsko-pomorskie,Poland
1302,2007-03-30,C0 VENTO,VENTO,C,kujawsko-pomorskie,Poland
1303,2010-03-04,C0 VER,VER,C,kujawsko-pomorskie,Poland
1304,2008-04-25,C0 VETTE,VETTE,C,kujawsko-pomorskie,Poland
1305,2007-05-04,C0 VIA,VIA,C,kujawsko-pomorskie,Poland
1306,2009-12-20,C0 VIANO,VIANO,C,kujawsko-pomorskie,Poland
1307,2008-04-02,C0 VIII,VIII,C,kujawsko-pomorskie,Poland
1308,2011-10-03,C0 VIKOR,VIKOR,C,kujawsko-pomorskie,Poland
1309,2013-08-01,C0 VILLA,VILLA,C,kujawsko-pomorskie,Poland
1310,2004-12-07,C0 VIOLA,VIOLA,C,kujawsko-pomorskie,Poland
1311,2010-06-06,C0 VIP,VIP,C,kujawsko-pomorskie,Poland
1312,2014-03-23,C0 VIP23,VIP23,C,kujawsko-pomorskie,Poland
1313,2010-07-30,C0 VIPER,VIPER,C,kujawsko-pomorskie,Poland
1314,2009-01-20,C0 VISCO,VISCO,C,kujawsko-pomorskie,Poland
1315,2013-05-05,C0 VISLA,VISLA,C,kujawsko-pomorskie,Poland
1316,2019-04-28,C0 VITAE,VITAE,C,kujawsko-pomorskie,Poland
1317,2009-05-24,C0 VITO,VITO,C,kujawsko-pomorskie,Poland
1318,2005-10-30,C0 VITRO,VITRO,C,kujawsko-pomorskie,Poland
1319,2006-09-29,C0 VIVA,VIVA,C,kujawsko-pomorskie,Poland
1320,2011-05-26,C0 VOGEL,VOGEL,C,kujawsko-pomorskie,Poland
1321,2005-04-27,C0 VOGUE,VOGUE,C,kujawsko-pomorskie,Poland
1322,2009-11-17,C0 VOTUM,VOTUM,C,kujawsko-pomorskie,Poland
1323,2019-07-21,C0 VROD,VROD,C,kujawsko-pomorskie,Poland
1324,2018-04-05,C0 VRS,VRS,C,kujawsko-pomorskie,Poland
1325,2016-01-08,C0 VVV,VVV,C,kujawsko-pomorskie,Poland
1326,2010-08-10,C0 VW1,VW1,C,kujawsko-pomorskie,Poland
1327,2015-01-15,C0 VW99,VW99,C,kujawsko-pomorskie,Poland
1328,2010-07-29,C0 VWR,VWR,C,kujawsko-pomorskie,Poland
1329,2019-04-02,C0 VXC60,VXC60,C,kujawsko-pomorskie,Poland
1330,2011-07-27,C0 WACEK,WACEK,C,kujawsko-pomorskie,Poland
1331,2007-06-18,C0 WAGI,WAGI,C,kujawsko-pomorskie,Poland
1332,2007-04-05,C0 WALDI,WALDI,C,kujawsko-pomorskie,Poland
1333,2005-03-13,C0 WARAN,WARAN,C,kujawsko-pomorskie,Poland
1334,2010-04-18,C0 WAREG,WAREG,C,kujawsko-pomorskie,Poland
1335,2008-02-03,C0 WAS1,WAS1,C,kujawsko-pomorskie,Poland
1336,2019-05-11,C0 WATER,WATER,C,kujawsko-pomorskie,Poland
1337,2016-11-10,C0 WAW98,WAW98,C,kujawsko-pomorskie,Poland
1338,2006-02-17,C0 WAWER,WAWER,C,kujawsko-pomorskie,Poland
1339,2012-07-13,C0 WBA11,WBA11,C,kujawsko-pomorskie,Poland
1340,2015-01-05,C0 WBA19,WBA19,C,kujawsko-pomorskie,Poland
1341,2005-01-18,C0 WBJH3,WBJH3,C,kujawsko-pomorskie,Poland
1342,2016-03-13,C0 WBOY,WBOY,C,kujawsko-pomorskie,Poland
1343,2007-01-19,C0 WBS,WBS,C,kujawsko-pomorskie,Poland
1344,2009-09-28,C0 WELLP,WELLP,C,kujawsko-pomorskie,Poland
1345,2019-05-09,C0 WHITE,WHITE,C,kujawsko-pomorskie,Poland
1346,2009-03-24,C0 WICI,WICI,C,kujawsko-pomorskie,Poland
1347,2014-10-13,C0 WIIO,WIIO,C,kujawsko-pomorskie,Poland
1348,2011-12-02,C0 WIKI,WIKI,C,kujawsko-pomorskie,Poland
1349,2019-01-03,C0 WILKU,WILKU,C,kujawsko-pomorskie,Poland
1350,2008-07-09,C0 WILLE,WILLE,C,kujawsko-pomorskie,Poland
1351,2015-08-22,C0 WIND,WIND,C,kujawsko-pomorskie,Poland
1352,2006-05-02,C0 WINGS,WINGS,C,kujawsko-pomorskie,Poland
1353,2013-04-06,C0 WITEK,WITEK,C,kujawsko-pomorskie,Poland
1354,2019-07-28,C0 WMW,WMW,C,kujawsko-pomorskie,Poland
1355,2018-02-01,C0 WNTDS,WNTDS,C,kujawsko-pomorskie,Poland
1356,2015-01-11,C0 WNUKU,WNUKU,C,kujawsko-pomorskie,Poland
1357,2012-04-15,C0 WOCHU,WOCHU,C,kujawsko-pomorskie,Poland
1358,2009-08-15,C0 WOJT,WOJT,C,kujawsko-pomorskie,Poland
1359,2019-04-13,C0 WOJTI,WOJTI,C,kujawsko-pomorskie,Poland
1360,2019-07-15,C0 WOLA,WOLA,C,kujawsko-pomorskie,Poland
1361,2018-06-01,C0 WOOOW,WOOOW,C,kujawsko-pomorskie,Poland
1362,2017-10-21,C0 WOOW,WOOW,C,kujawsko-pomorskie,Poland
1363,2018-03-11,C0 WOW,WOW,C,kujawsko-pomorskie,Poland
1364,2010-03-15,C0 WRC,WRC,C,kujawsko-pomorskie,Poland
1365,2016-02-26,C0 WRRR,WRRR,C,kujawsko-pomorskie,Poland
1366,2010-06-13,C0 WT1,WT1,C,kujawsko-pomorskie,Poland
1367,2009-07-20,C0 WTCH1,WTCH1,C,kujawsko-pomorskie,Poland
1368,2010-05-06,C0 WTCH2,WTCH2,C,kujawsko-pomorskie,Poland
1369,2010-06-28,C0 WTCH3,WTCH3,C,kujawsko-pomorskie,Poland
1370,2014-09-25,C0 WWL35,WWL35,C,kujawsko-pomorskie,Poland
1371,2014-03-22,C0 WWW,WWW,C,kujawsko-pomorskie,Poland
1372,2011-02-09,C0 WWWWW,WWWWW,C,kujawsko-pomorskie,Poland
1373,2006-11-28,C0 WZU2,WZU2,C,kujawsko-pomorskie,Poland
1374,2008-09-12,C0 WZUSA,WZUSA,C,kujawsko-pomorskie,Poland
1375,2008-07-24,C0 XBMWX,XBMWX,C,kujawsko-pomorskie,Poland
1376,2019-01-12,C0 XDDDD,XDDDD,C,kujawsko-pomorskie,Poland
1377,2019-03-22,C0 XIAOK,XIAOK,C,kujawsko-pomorskie,Poland
1378,2016-08-18,C0 XJ8,XJ8,C,kujawsko-pomorskie,Poland
1379,2012-04-06,C0 XJS,XJS,C,kujawsko-pomorskie,Poland
1380,2011-10-06,C0 XLEWA,XLEWA,C,kujawsko-pomorskie,Poland
1381,2010-11-05,C0 XLMX,XLMX,C,kujawsko-pomorskie,Poland
1382,2014-08-25,C0 XMEN,XMEN,C,kujawsko-pomorskie,Poland
1383,2016-08-12,C0 XOXO,XOXO,C,kujawsko-pomorskie,Poland
1384,2012-10-30,C0 XTMX,XTMX,C,kujawsko-pomorskie,Poland
1385,2011-04-18,C0 XX6,XX6,C,kujawsko-pomorskie,Poland
1386,2004-07-05,C0 XXL,XXL,C,kujawsko-pomorskie,Poland
1387,2004-12-07,C0 XXX,XXX,C,kujawsko-pomorskie,Poland
1388,2016-08-14,C0 XXX1,XXX1,C,kujawsko-pomorskie,Poland
1389,2018-01-10,C0 XXX14,XXX14,C,kujawsko-pomorskie,Poland
1390,2019-01-18,C0 XXX3,XXX3,C,kujawsko-pomorskie,Poland
1391,2011-05-25,C0 XXX5,XXX5,C,kujawsko-pomorskie,Poland
1392,2005-02-08,C0 XXXX,XXXX,C,kujawsko-pomorskie,Poland
1393,2006-05-13,C0 XXXXX,XXXXX,C,kujawsko-pomorskie,Poland
1394,2007-02-07,C0 XXYZ,XXYZ,C,kujawsko-pomorskie,Poland
1395,2014-04-06,C0 XYZ,XYZ,C,kujawsko-pomorskie,Poland
1396,2010-03-27,C0 YAHOO,YAHOO,C,kujawsko-pomorskie,Poland
1397,2007-06-10,C0 YANO,YANO,C,kujawsko-pomorskie,Poland
1398,2018-04-16,C0 YARDO,YARDO,C,kujawsko-pomorskie,Poland
1399,2016-07-09,C0 YEYO,YEYO,C,kujawsko-pomorskie,Poland
1400,2005-01-25,C0 YOCA,YOCA,C,kujawsko-pomorskie,Poland
1401,2014-03-12,C0 YOCCA,YOCCA,C,kujawsko-pomorskie,Poland
1402,2018-11-05,C0 YOGI,YOGI,C,kujawsko-pomorskie,Poland
1403,2007-04-28,C0 YOLKA,YOLKA,C,kujawsko-pomorskie,Poland
1404,2017-04-23,C0 YYY,YYY,C,kujawsko-pomorskie,Poland
1405,2019-07-31,C0 YYYY,YYYY,C,kujawsko-pomorskie,Poland
1406,2019-04-28,C0 YYYYY,YYYYY,C,kujawsko-pomorskie,Poland
1407,2009-04-07,C0 YZFR1,YZFR1,C,kujawsko-pomorskie,Poland
1408,2016-12-21,C0 ZAGRO,ZAGRO,C,kujawsko-pomorskie,Poland
1409,2019-05-25,C0 ZAHAR,ZAHAR,C,kujawsko-pomorskie,Poland
1410,2019-08-22,C0 ZAKU,ZAKU,C,kujawsko-pomorskie,Poland
1411,2005-05-25,C0 ZAMOC,ZAMOC,C,kujawsko-pomorskie,Poland
1412,2010-06-20,C0 ZANET,ZANET,C,kujawsko-pomorskie,Poland
1413,2018-06-17,C0 ZAPEX,ZAPEX,C,kujawsko-pomorskie,Poland
1414,2008-07-18,C0 ZBPP,ZBPP,C,kujawsko-pomorskie,Poland
1415,2012-10-01,C0 ZBRG,ZBRG,C,kujawsko-pomorskie,Poland
1416,2017-10-04,C0 ZDAM,ZDAM,C,kujawsko-pomorskie,Poland
1417,2014-05-19,C0 ZENIT,ZENIT,C,kujawsko-pomorskie,Poland
1418,2009-07-16,C0 ZENR1,ZENR1,C,kujawsko-pomorskie,Poland
1419,2013-09-14,C0 ZERG,ZERG,C,kujawsko-pomorskie,Poland
1420,2015-07-20,C0 ZIABA,ZIABA,C,kujawsko-pomorskie,Poland
1421,2003-02-07,C0 ZIBI,ZIBI,C,kujawsko-pomorskie,Poland
1422,2008-05-01,C0 ZJESZ,ZJESZ,C,kujawsko-pomorskie,Poland
1423,2014-09-17,C0 ZLAKI,ZLAKI,C,kujawsko-pomorskie,Poland
1424,2017-05-14,C0 ZLOM,ZLOM,C,kujawsko-pomorskie,Poland
1425,2008-06-04,C0 ZMB,ZMB,C,kujawsko-pomorskie,Poland
1426,2019-03-10,C0 ZNAMI,ZNAMI,C,kujawsko-pomorskie,Poland
1427,2011-10-02,C0 ZOLI,ZOLI,C,kujawsko-pomorskie,Poland
1428,2016-07-06,C0 ZOLZA,ZOLZA,C,kujawsko-pomorskie,Poland
1429,2012-04-10,C0 ZOSIA,ZOSIA,C,kujawsko-pomorskie,Poland
1430,2019-04-12,C0 ZOZ,ZOZ,C,kujawsko-pomorskie,Poland
1431,2009-07-31,C0 ZRB,ZRB,C,kujawsko-pomorskie,Poland
1432,2005-06-04,C0 ZUPIT,ZUPIT,C,kujawsko-pomorskie,Poland
1433,2016-12-02,C0 ZURI,ZURI,C,kujawsko-pomorskie,Poland
1434,2008-12-14,C0 ZUZA,ZUZA,C,kujawsko-pomorskie,Poland
1435,2007-10-23,C0 ZUZIA,ZUZIA,C,kujawsko-pomorskie,Poland
1436,2009-03-14,C0 ZWM77,ZWM77,C,kujawsko-pomorskie,Poland
1437,2003-02-22,C0 ZYBI,ZYBI,C,kujawsko-pomorskie,Poland
1438,2008-07-21,C0 ZYGA,ZYGA,C,kujawsko-pomorskie,Poland
1439,2005-06-11,C0 ZYSKA,ZYSKA,C,kujawsko-pomorskie,Poland
1440,2004-07-22,C1 ABBA,ABBA,C,kujawsko-pomorskie,Poland
1441,2019-07-28,C1 ABM,ABM,C,kujawsko-pomorskie,Poland
1442,2014-12-02,C1 ABM01,ABM01,C,kujawsko-pomorskie,Poland
1443,2015-11-21,C1 ABUSE,ABUSE,C,kujawsko-pomorskie,Poland
1444,2018-06-03,C1 ACR,ACR,C,kujawsko-pomorskie,Poland
1445,2006-10-28,C1 ADAM,ADAM,C,kujawsko-pomorskie,Poland
1446,2018-10-13,C1 ADAM1,ADAM1,C,kujawsko-pomorskie,Poland
1447,2008-07-10,C1 ADAMS,ADAMS,C,kujawsko-pomorskie,Poland
1448,2014-04-04,C1 ADI,ADI,C,kujawsko-pomorskie,Poland
1449,2009-05-31,C1 ADREK,ADREK,C,kujawsko-pomorskie,Poland
1450,2008-06-16,C1 ADS,ADS,C,kujawsko-pomorskie,Poland
1451,2009-02-28,C1 AGA,AGA,C,kujawsko-pomorskie,Poland
1452,2017-07-16,C1 AGATA,AGATA,C,kujawsko-pomorskie,Poland
1453,2007-10-07,C1 AGENT,AGENT,C,kujawsko-pomorskie,Poland
1454,2009-07-08,C1 AGNES,AGNES,C,kujawsko-pomorskie,Poland
1455,2009-01-20,C1 AGORA,AGORA,C,kujawsko-pomorskie,Poland
1456,2016-03-25,C1 AGRO,AGRO,C,kujawsko-pomorskie,Poland
1457,2015-07-04,C1 AGRO1,AGRO1,C,kujawsko-pomorskie,Poland
1458,2017-05-10,C1 AGUSI,AGUSI,C,kujawsko-pomorskie,Poland
1459,2017-02-03,C1 ALA,ALA,C,kujawsko-pomorskie,Poland
1460,2019-06-08,C1 ALAN,ALAN,C,kujawsko-pomorskie,Poland
1461,2008-11-14,C1 ALDAR,ALDAR,C,kujawsko-pomorskie,Poland
1462,2005-10-05,C1 ALEX,ALEX,C,kujawsko-pomorskie,Poland
1463,2011-05-14,C1 ALFA,ALFA,C,kujawsko-pomorskie,Poland
1464,2013-04-16,C1 ALGRA,ALGRA,C,kujawsko-pomorskie,Poland
1465,2004-01-03,C1 ALIBI,ALIBI,C,kujawsko-pomorskie,Poland
1466,2015-03-22,C1 ALTOM,ALTOM,C,kujawsko-pomorskie,Poland
1467,2012-03-22,C1 ALU,ALU,C,kujawsko-pomorskie,Poland
1468,2013-09-10,C1 ALU1,ALU1,C,kujawsko-pomorskie,Poland
1469,2019-02-21,C1 ALU2,ALU2,C,kujawsko-pomorskie,Poland
1470,2004-09-19,C1 AMG,AMG,C,kujawsko-pomorskie,Poland
1471,2018-09-12,C1 AMG45,AMG45,C,kujawsko-pomorskie,Poland
1472,2017-06-28,C1 AMG65,AMG65,C,kujawsko-pomorskie,Poland
1473,2007-11-23,C1 AMN,AMN,C,kujawsko-pomorskie,Poland
1474,2012-08-29,C1 AMOR,AMOR,C,kujawsko-pomorskie,Poland
1475,2014-08-19,C1 AMZII,AMZII,C,kujawsko-pomorskie,Poland
1476,2010-08-14,C1 ANDAR,ANDAR,C,kujawsko-pomorskie,Poland
1477,2010-01-29,C1 ANDAW,ANDAW,C,kujawsko-pomorskie,Poland
1478,2017-05-06,C1 ANDRE,ANDRE,C,kujawsko-pomorskie,Poland
1479,2013-07-07,C1 ANDUR,ANDUR,C,kujawsko-pomorskie,Poland
1480,2008-03-12,C1 ANESS,ANESS,C,kujawsko-pomorskie,Poland
1481,2008-05-24,C1 ANGEL,ANGEL,C,kujawsko-pomorskie,Poland
1482,2006-04-25,C1 ANIA,ANIA,C,kujawsko-pomorskie,Poland
1483,2015-06-19,C1 ANIA1,ANIA1,C,kujawsko-pomorskie,Poland
1484,2011-11-05,C1 ANITA,ANITA,C,kujawsko-pomorskie,Poland
1485,2008-04-28,C1 ANKA,ANKA,C,kujawsko-pomorskie,Poland
1486,2008-03-15,C1 ANNA,ANNA,C,kujawsko-pomorskie,Poland
1487,2015-03-19,C1 ANOWI,ANOWI,C,kujawsko-pomorskie,Poland
1488,2018-09-06,C1 ANPOL,ANPOL,C,kujawsko-pomorskie,Poland
1489,2010-03-04,C1 ANTEK,ANTEK,C,kujawsko-pomorskie,Poland
1490,2017-02-09,C1 ANTOR,ANTOR,C,kujawsko-pomorskie,Poland
1491,2011-06-23,C1 APET,APET,C,kujawsko-pomorskie,Poland
1492,2009-05-14,C1 AREK,AREK,C,kujawsko-pomorskie,Poland
1493,2013-07-11,C1 ARIEL,ARIEL,C,kujawsko-pomorskie,Poland
1494,2013-09-14,C1 ARKA,ARKA,C,kujawsko-pomorskie,Poland
1495,2013-12-04,C1 ARKON,ARKON,C,kujawsko-pomorskie,Poland
1496,2008-11-18,C1 ARTEM,ARTEM,C,kujawsko-pomorskie,Poland
1497,2011-06-15,C1 ARTI,ARTI,C,kujawsko-pomorskie,Poland
1498,2007-02-14,C1 ARTUR,ARTUR,C,kujawsko-pomorskie,Poland
1499,2018-06-18,C1 ASKOR,ASKOR,C,kujawsko-pomorskie,Poland
1500,2018-02-19,C1 ASMAR,ASMAR,C,kujawsko-pomorskie,Poland
1501,2009-01-12,C1 ASTEX,ASTEX,C,kujawsko-pomorskie,Poland
1502,2017-12-01,C1 ATENA,ATENA,C,kujawsko-pomorskie,Poland
1503,2010-12-14,C1 ATRAX,ATRAX,C,kujawsko-pomorskie,Poland
1504,2019-05-27,C1 ATV,ATV,C,kujawsko-pomorskie,Poland
1505,2016-07-08,C1 AUDI,AUDI,C,kujawsko-pomorskie,Poland
1506,2008-03-31,C1 AUDI7,AUDI7,C,kujawsko-pomorskie,Poland
1507,2015-05-18,C1 AUTO,AUTO,C,kujawsko-pomorskie,Poland
1508,2013-01-16,C1 AUTOM,AUTOM,C,kujawsko-pomorskie,Poland
1509,2016-04-12,C1 AZK47,AZK47,C,kujawsko-pomorskie,Poland
1510,2003-12-06,C1 BAAZ2,BAAZ2,C,kujawsko-pomorskie,Poland
1511,2005-04-19,C1 BAJER,BAJER,C,kujawsko-pomorskie,Poland
1512,2018-07-07,C1 BANO,BANO,C,kujawsko-pomorskie,Poland
1513,2010-07-26,C1 BARON,BARON,C,kujawsko-pomorskie,Poland
1514,2012-10-06,C1 BART,BART,C,kujawsko-pomorskie,Poland
1515,2003-02-07,C1 BASIA,BASIA,C,kujawsko-pomorskie,Poland
1516,2015-03-15,C1 BASIN,BASIN,C,kujawsko-pomorskie,Poland
1517,2005-10-12,C1 BAUS,BAUS,C,kujawsko-pomorskie,Poland
1518,2018-04-12,C1 BBBBB,BBBBB,C,kujawsko-pomorskie,Poland
1519,2018-04-18,C1 BDP,BDP,C,kujawsko-pomorskie,Poland
1520,2016-11-02,C1 BEAST,BEAST,C,kujawsko-pomorskie,Poland
1521,2017-05-10,C1 BETI,BETI,C,kujawsko-pomorskie,Poland
1522,2018-05-16,C1 BHP,BHP,C,kujawsko-pomorskie,Poland
1523,2017-01-07,C1 BIKOL,BIKOL,C,kujawsko-pomorskie,Poland
1524,2015-01-04,C1 BISI,BISI,C,kujawsko-pomorskie,Poland
1525,2003-10-02,C1 BJMMM,BJMMM,C,kujawsko-pomorskie,Poland
1526,2006-09-17,C1 BLACK,BLACK,C,kujawsko-pomorskie,Poland
1527,2017-04-09,C1 BLUE,BLUE,C,kujawsko-pomorskie,Poland
1528,2008-01-19,C1 BMB,BMB,C,kujawsko-pomorskie,Poland
1529,2018-04-06,C1 BMW7,BMW7,C,kujawsko-pomorskie,Poland
1530,2018-06-02,C1 BMWX1,BMWX1,C,kujawsko-pomorskie,Poland
1531,2017-07-21,C1 BMWX5,BMWX5,C,kujawsko-pomorskie,Poland
1532,2019-02-28,C1 BMWX6,BMWX6,C,kujawsko-pomorskie,Poland
1533,2019-08-06,C1 BOAR,BOAR,C,kujawsko-pomorskie,Poland
1534,2011-02-13,C1 BOHNA,BOHNA,C,kujawsko-pomorskie,Poland
1535,2011-08-27,C1 BOJAN,BOJAN,C,kujawsko-pomorskie,Poland
1536,2019-03-27,C1 BOJAR,BOJAR,C,kujawsko-pomorskie,Poland
1537,2008-11-30,C1 BORO,BORO,C,kujawsko-pomorskie,Poland
1538,2008-08-30,C1 BOSS,BOSS,C,kujawsko-pomorskie,Poland
1539,2013-04-20,C1 BRATA,BRATA,C,kujawsko-pomorskie,Poland
1540,2018-07-19,C1 BRBPH,BRBPH,C,kujawsko-pomorskie,Poland
1541,2016-07-02,C1 BRUNO,BRUNO,C,kujawsko-pomorskie,Poland
1542,2017-06-14,C1 BTS,BTS,C,kujawsko-pomorskie,Poland
1543,2009-05-13,C1 BUDNY,BUDNY,C,kujawsko-pomorskie,Poland
1544,2019-03-18,C1 BUDUJ,BUDUJ,C,kujawsko-pomorskie,Poland
1545,2017-06-28,C1 BULI,BULI,C,kujawsko-pomorskie,Poland
1546,2010-04-29,C1 BWEKO,BWEKO,C,kujawsko-pomorskie,Poland
1547,2017-01-29,C1 CALEW,CALEW,C,kujawsko-pomorskie,Poland
1548,2014-01-25,C1 CAMEL,CAMEL,C,kujawsko-pomorskie,Poland
1549,2018-09-24,C1 CCXX,CCXX,C,kujawsko-pomorskie,Poland
1550,2019-07-29,C1 CEMO,CEMO,C,kujawsko-pomorskie,Poland
1551,2016-02-13,C1 CEO1,CEO1,C,kujawsko-pomorskie,Poland
1552,2010-08-27,C1 CESIU,CESIU,C,kujawsko-pomorskie,Poland
1553,2016-07-14,C1 CEZAR,CEZAR,C,kujawsko-pomorskie,Poland
1554,2006-10-09,C1 CFC,CFC,C,kujawsko-pomorskie,Poland
1555,2019-08-11,C1 CFPL,CFPL,C,kujawsko-pomorskie,Poland
1556,2004-07-25,C1 CHEMI,CHEMI,C,kujawsko-pomorskie,Poland
1557,2004-05-02,C1 CHRIS,CHRIS,C,kujawsko-pomorskie,Poland
1558,2009-07-07,C1 CKWPL,CKWPL,C,kujawsko-pomorskie,Poland
1559,2017-03-30,C1 CL65,CL65,C,kujawsko-pomorskie,Poland
1560,2008-03-13,C1 CLEAN,CLEAN,C,kujawsko-pomorskie,Poland
1561,2017-02-01,C1 CLIMA,CLIMA,C,kujawsko-pomorskie,Poland
1562,2008-09-15,C1 CMAX,CMAX,C,kujawsko-pomorskie,Poland
1563,2012-05-16,C1 CMT,CMT,C,kujawsko-pomorskie,Poland
1564,2007-12-31,C1 COBRA,COBRA,C,kujawsko-pomorskie,Poland
1565,2008-04-20,C1 COMAX,COMAX,C,kujawsko-pomorskie,Poland
